Training: 2021-04-10 19:44:24,605-rank_id: 0
Training: 2021-04-10 21:20:01,599-Speed 763.95 samples/sec   Loss 14.7573   Epoch: 0   Global Step: 8200   Required: 55 hours
Training: 2021-04-10 21:20:35,058-Speed 765.14 samples/sec   Loss 14.8154   Epoch: 0   Global Step: 8250   Required: 55 hours
Training: 2021-04-10 21:21:08,640-Speed 762.31 samples/sec   Loss 14.8040   Epoch: 0   Global Step: 8300   Required: 55 hours
Training: 2021-04-10 21:21:42,202-Speed 762.78 samples/sec   Loss 14.7045   Epoch: 0   Global Step: 8350   Required: 55 hours
Training: 2021-04-10 21:22:15,820-Speed 761.51 samples/sec   Loss 14.6323   Epoch: 0   Global Step: 8400   Required: 55 hours
Training: 2021-04-10 21:22:49,286-Speed 764.96 samples/sec   Loss 14.6125   Epoch: 0   Global Step: 8450   Required: 55 hours
Training: 2021-04-10 21:23:22,684-Speed 766.55 samples/sec   Loss 14.6818   Epoch: 0   Global Step: 8500   Required: 55 hours
Training: 2021-04-10 21:23:56,105-Speed 766.00 samples/sec   Loss 14.5559   Epoch: 0   Global Step: 8550   Required: 55 hours
Training: 2021-04-10 21:24:29,636-Speed 763.47 samples/sec   Loss 14.6670   Epoch: 0   Global Step: 8600   Required: 55 hours
Training: 2021-04-10 21:25:03,051-Speed 766.13 samples/sec   Loss 14.5567   Epoch: 0   Global Step: 8650   Required: 55 hours
Training: 2021-04-10 21:25:36,414-Speed 767.35 samples/sec   Loss 14.6104   Epoch: 0   Global Step: 8700   Required: 55 hours
Training: 2021-04-10 21:26:09,813-Speed 766.49 samples/sec   Loss 14.4772   Epoch: 0   Global Step: 8750   Required: 55 hours
Training: 2021-04-10 21:26:43,354-Speed 763.25 samples/sec   Loss 14.6199   Epoch: 0   Global Step: 8800   Required: 55 hours
Training: 2021-04-10 21:27:16,832-Speed 764.70 samples/sec   Loss 14.4576   Epoch: 0   Global Step: 8850   Required: 55 hours
Training: 2021-04-10 21:27:50,312-Speed 764.65 samples/sec   Loss 14.5891   Epoch: 0   Global Step: 8900   Required: 55 hours
Training: 2021-04-10 21:28:23,899-Speed 762.21 samples/sec   Loss 14.3673   Epoch: 0   Global Step: 8950   Required: 55 hours
Training: 2021-04-10 21:28:57,448-Speed 763.08 samples/sec   Loss 14.4661   Epoch: 0   Global Step: 9000   Required: 55 hours
Training: 2021-04-10 21:29:31,104-Speed 760.65 samples/sec   Loss 14.5000   Epoch: 0   Global Step: 9050   Required: 55 hours
Training: 2021-04-10 21:30:04,753-Speed 760.80 samples/sec   Loss 14.4328   Epoch: 0   Global Step: 9100   Required: 55 hours
Training: 2021-04-10 21:30:38,201-Speed 765.39 samples/sec   Loss 14.3845   Epoch: 0   Global Step: 9150   Required: 55 hours
Training: 2021-04-10 21:31:11,875-Speed 760.23 samples/sec   Loss 14.3939   Epoch: 0   Global Step: 9200   Required: 55 hours
Training: 2021-04-10 21:31:45,294-Speed 766.03 samples/sec   Loss 14.4284   Epoch: 0   Global Step: 9250   Required: 55 hours
Training: 2021-04-10 21:32:18,826-Speed 763.48 samples/sec   Loss 14.2824   Epoch: 0   Global Step: 9300   Required: 55 hours
Training: 2021-04-10 21:32:52,354-Speed 763.55 samples/sec   Loss 14.4044   Epoch: 0   Global Step: 9350   Required: 55 hours
Training: 2021-04-10 21:33:26,106-Speed 758.48 samples/sec   Loss 14.2559   Epoch: 0   Global Step: 9400   Required: 55 hours
Training: 2021-04-10 21:33:59,576-Speed 764.87 samples/sec   Loss 14.3209   Epoch: 0   Global Step: 9450   Required: 55 hours
Training: 2021-04-10 21:34:33,436-Speed 756.08 samples/sec   Loss 14.3748   Epoch: 0   Global Step: 9500   Required: 55 hours
Training: 2021-04-10 21:35:07,045-Speed 761.71 samples/sec   Loss 14.3353   Epoch: 0   Global Step: 9550   Required: 55 hours
Training: 2021-04-10 21:35:40,760-Speed 759.31 samples/sec   Loss 14.3288   Epoch: 0   Global Step: 9600   Required: 55 hours
Training: 2021-04-10 21:36:14,419-Speed 760.57 samples/sec   Loss 14.2209   Epoch: 0   Global Step: 9650   Required: 55 hours
Training: 2021-04-10 21:36:48,028-Speed 761.72 samples/sec   Loss 14.2039   Epoch: 0   Global Step: 9700   Required: 55 hours
Training: 2021-04-10 21:37:21,536-Speed 764.00 samples/sec   Loss 14.3145   Epoch: 0   Global Step: 9750   Required: 55 hours
Training: 2021-04-10 21:37:55,036-Speed 764.19 samples/sec   Loss 14.2754   Epoch: 0   Global Step: 9800   Required: 55 hours
